area_health_resource_files_release_year,occupation_name,geography_name,hispanic,white,black,asian,pacific,indigenous,other,less_than_30,30_to_39,40_to_49,50_to_59,60+,male,female,hispanic-latino_%,white_%,black-african_american_%,asian_%,native_hawaiian-other_pacific_islander_%,american_indian-alaska_native_%,other-multiple_races_%,less_than_30_%,30_to_39_%,40_to_49_%,50_to_59_%,60+_%,male_%,female_%,missing-suppressed_raceethnicity_data_comment,missing-suppressed_age_data_comment,missing-suppressed_gender_data_comment,hrsa_data_warehouse_processing_date
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Georgia,181.0,4760.0,1294.0,180.0,,,224.0,274.0,2289.0,2171.0,1294.0,625.0,961.0,5692.0,2.721,71.547,19.45,2.706,,,3.367,4.118,34.406,32.632,19.45,9.394,14.445,85.555,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Hawaii,,169.0,,108.0,,,,,164.0,135.0,123.0,,69.0,380.0,,37.639,,24.053,,,,,36.526,30.067,27.394,,15.367,84.633,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: [No Data]; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Idaho,,1043.0,,,,,,,189.0,414.0,229.0,186.0,174.0,889.0,,98.119,,,,,,,17.78,38.946,21.543,17.498,16.369,83.631,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Illinois,161.0,5955.0,506.0,419.0,,,156.0,655.0,2529.0,1923.0,1274.0,831.0,786.0,6426.0,2.232,82.571,7.016,5.81,,,2.163,9.082,35.067,26.664,17.665,11.522,10.899,89.101,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Indiana,,4194.0,,,,,,253.0,1323.0,1171.0,735.0,866.0,329.0,4019.0,,96.458,,,,,,5.819,30.428,26.932,16.904,19.917,7.567,92.433,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Iowa,,1979.0,,,,,,93.0,657.0,408.0,509.0,480.0,377.0,1770.0,,92.175,,,,,,4.332,30.601,19.003,23.707,22.357,17.559,82.441,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Kansas,,2064.0,,,,,,,822.0,647.0,429.0,268.0,408.0,1775.0,,94.549,,,,,,,37.655,29.638,19.652,12.277,18.69,81.31,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Kentucky,,4192.0,,73.0,,,,286.0,1657.0,1511.0,674.0,219.0,501.0,3846.0,,96.434,,1.679,,,,6.579,38.118,34.76,15.505,5.038,11.525,88.475,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Louisiana,,3131.0,637.0,,,,,112.0,1795.0,1173.0,462.0,307.0,830.0,3019.0,,81.346,16.55,,,,,2.91,46.635,30.475,12.003,7.976,21.564,78.436,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Maine,,1419.0,,,,,,,369.0,273.0,409.0,339.0,190.0,1229.0,,100.0,,,,,,,26.004,19.239,28.823,23.89,13.39,86.61,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Maryland,,2990.0,478.0,206.0,,,84.0,216.0,1290.0,1135.0,663.0,518.0,277.0,3545.0,,78.231,12.507,5.39,,,2.198,5.651,33.752,29.696,17.347,13.553,7.248,92.752,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Massachusetts,239.0,6400.0,333.0,277.0,,,195.0,696.0,2259.0,1632.0,1564.0,1293.0,521.0,6923.0,3.211,85.975,4.473,3.721,,,2.62,9.35,30.347,21.924,21.01,17.37,6.999,93.001,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Michigan,160.0,5688.0,325.0,257.0,,,120.0,413.0,1967.0,2028.0,1222.0,920.0,970.0,5580.0,2.443,86.84,4.962,3.924,,,1.832,6.305,30.031,30.962,18.656,14.046,14.809,85.191,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Minnesota,,4707.0,,166.0,,,,260.0,1827.0,1237.0,1114.0,479.0,825.0,4092.0,,95.729,,3.376,,,,5.288,37.157,25.158,22.656,9.742,16.779,83.221,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Mississippi,,2906.0,499.0,,,,,283.0,1079.0,1251.0,473.0,355.0,842.0,2599.0,,84.452,14.502,,,,,8.224,31.357,36.356,13.746,10.317,24.47,75.53,Hispanic: [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Missouri,,5710.0,370.0,,,,,400.0,2297.0,1549.0,1067.0,983.0,696.0,5600.0,,90.693,5.877,,,,,6.353,36.483,24.603,16.947,15.613,11.055,88.945,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Montana,,875.0,,,,,,,348.0,223.0,200.0,134.0,168.0,737.0,,96.685,,,,,,,38.453,24.641,22.099,14.807,18.564,81.436,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data],,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Nebraska,,1454.0,,,,,,,658.0,370.0,190.0,154.0,278.0,1241.0,,95.721,,,,,,,43.318,24.358,12.508,10.138,18.302,81.698,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Nevada,,691.0,,239.0,,,,64.0,359.0,266.0,185.0,162.0,272.0,764.0,,66.699,,23.069,,,,6.178,34.653,25.676,17.857,15.637,26.255,73.745,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),New Hampshire,,1278.0,,,,,,135.0,315.0,371.0,399.0,225.0,169.0,1276.0,,88.443,,,,,,9.343,21.799,25.675,27.612,15.571,11.696,88.304,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),New Jersey,224.0,2349.0,483.0,422.0,,,,200.0,1170.0,751.0,744.0,647.0,440.0,3072.0,6.378,66.885,13.753,12.016,,,,5.695,33.314,21.384,21.185,18.423,12.528,87.472,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),New Mexico,302.0,879.0,,,,,,,220.0,284.0,412.0,328.0,167.0,1093.0,23.968,69.762,,,,,,,17.46,22.54,32.698,26.032,13.254,86.746,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),New York,755.0,9355.0,1132.0,2097.0,,,513.0,700.0,3930.0,3459.0,3345.0,2426.0,1495.0,12365.0,5.447,67.496,8.167,15.13,,,3.701,5.051,28.355,24.957,24.134,17.504,10.786,89.214,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),North Carolina,,6435.0,609.0,350.0,,,,454.0,2645.0,1672.0,1842.0,871.0,1134.0,6350.0,,85.983,8.137,4.677,,,,6.066,35.342,22.341,24.613,11.638,15.152,84.848,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),North Dakota,,571.0,,,,,,,,177.0,,47.0,,499.0,,100.0,,,,,,,,30.998,,8.231,,87.391,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Ohio,274.0,9241.0,995.0,174.0,,,105.0,782.0,4381.0,2871.0,1913.0,842.0,1373.0,9416.0,2.54,85.652,9.222,1.613,,,0.973,7.248,40.606,26.61,17.731,7.804,12.726,87.274,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Oklahoma,,1315.0,,104.0,,,116.0,,592.0,496.0,373.0,162.0,321.0,1356.0,,78.414,,6.202,,,6.917,,35.301,29.577,22.242,9.66,19.141,80.859,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Oregon,90.0,2676.0,,85.0,,,,,771.0,736.0,540.0,817.0,565.0,2389.0,3.047,90.589,,2.877,,,,,26.1,24.915,18.28,27.657,19.127,80.873,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Pennsylvania,108.0,9579.0,444.0,412.0,,,,878.0,3507.0,2521.0,2171.0,1567.0,1792.0,8852.0,1.015,89.994,4.171,3.871,,,,8.249,32.948,23.685,20.396,14.722,16.836,83.164,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Rhode Island,,470.0,,,,,,,233.0,120.0,61.0,109.0,,515.0,,86.081,,,,,,,42.674,21.978,11.172,19.963,,94.322,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),South Carolina,,3046.0,,,,,31.0,177.0,1424.0,768.0,402.0,451.0,324.0,2898.0,,94.538,,,,,0.962,5.493,44.196,23.836,12.477,13.998,10.056,89.944,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),South Dakota,,596.0,,,,,,72.0,154.0,55.0,253.0,70.0,256.0,348.0,,98.675,,,,,,11.921,25.497,9.106,41.887,11.589,42.384,57.616,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Tennessee,104.0,6743.0,549.0,208.0,,,,641.0,2799.0,1924.0,1569.0,734.0,1255.0,6412.0,1.356,87.948,7.161,2.713,,,,8.361,36.507,25.095,20.464,9.573,16.369,83.631,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Texas,2488.0,10540.0,2212.0,1423.0,,93.0,224.0,1144.0,6016.0,5284.0,2853.0,1683.0,3969.0,13011.0,14.653,62.073,13.027,8.38,,0.548,1.319,6.737,35.43,31.119,16.802,9.912,23.375,76.625,Native Hawaiian/ Pacific Islander: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Utah,,1469.0,,,,,,,579.0,301.0,453.0,130.0,525.0,1016.0,,95.328,,,,,,,37.573,19.533,29.396,8.436,34.069,65.931,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Vermont,,484.0,,,,,,,213.0,146.0,,134.0,,375.0,,94.163,,,,,,,41.44,28.405,,26.07,,72.957,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 50 to 59 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Virginia,168.0,4167.0,496.0,233.0,,,112.0,299.0,1471.0,1682.0,970.0,754.0,684.0,4492.0,3.246,80.506,9.583,4.502,,,2.164,5.777,28.42,32.496,18.74,14.567,13.215,86.785,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Washington,136.0,4196.0,,434.0,,,100.0,184.0,1590.0,1288.0,860.0,995.0,674.0,4243.0,2.766,85.337,,8.827,,,2.034,3.742,32.337,26.195,17.49,20.236,13.708,86.292,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),West Virginia,,1611.0,,56.0,,,,204.0,450.0,429.0,329.0,272.0,355.0,1329.0,,95.665,,3.325,,,,12.114,26.722,25.475,19.537,16.152,21.081,78.919,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Wisconsin,56.0,3722.0,,,,,,169.0,1114.0,971.0,932.0,813.0,400.0,3599.0,1.4,93.073,,,,,,4.226,27.857,24.281,23.306,20.33,10.003,89.997,Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Wyoming,,433.0,,,,,,,223.0,,,87.0,,423.0,,100.0,,,,,,,51.501,,,20.092,,97.691,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Alabama,,572.0,,,,,,,115.0,186.0,220.0,65.0,410.0,176.0,,97.611,,,,,,,19.625,31.741,37.543,11.092,69.966,30.034,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data],,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Alaska,,281.0,,,,,,,,,,,239.0,,,80.98,,,,,,,,,,,68.876,,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: [No Data]; 60 or Older: Supressed,Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Arizona,67.0,1343.0,,,,,,,137.0,593.0,373.0,310.0,1260.0,168.0,4.692,94.048,,,,,,,9.594,41.527,26.12,21.709,88.235,11.765,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Arkansas,,269.0,,,,,,,109.0,,,103.0,303.0,86.0,,69.152,,,,,,,28.021,,,26.478,77.892,22.108,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,California,708.0,5255.0,96.0,930.0,,,123.0,416.0,1358.0,1678.0,2117.0,1543.0,4783.0,2329.0,9.955,73.889,1.35,13.076,,,1.729,5.849,19.094,23.594,29.767,21.696,67.253,32.747,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Colorado,,1620.0,,,,,,241.0,543.0,469.0,248.0,224.0,1167.0,558.0,,93.913,,,,,,13.971,31.478,27.188,14.377,12.986,67.652,32.348,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Chiropractors,Connecticut,,499.0,,,,,,,60.0,160.0,255.0,39.0,325.0,232.0,,89.587,,,,,,,10.772,28.725,45.781,7.002,58.348,41.652,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
